0,0,0	1,0,0	2,0,0	3,0,0	4,0,0	5,0,0	6,0,0	7,0,0	8,0,0	9,0,0	10,0,0	11,0,0	12,0,0	13,0,0	14,0,0	15,0,0	16,0,1	17,0,1	18,0,1	19,0,1	20,0,1	21,0,1	22,0,1	23,0,1	24,0,1	25,0,1	26,0,1	27,0,1	28,0,1	29,0,1	30,0,2	31,0,2	32,0,2	33,0,2	34,0,2	35,0,2	36,0,2	37,0,2	38,0,2	39,0,2	40,0,2	41,0,2	42,0,2	43,0,1	44,0,1	45,0,1	46,0,1	47,0,1	48,0,1	49,0,1
0,1,0	1,1,0	2,1,0	3,1,0	4,1,0	5,1,0	6,1,0	7,1,0	8,1,0	9,1,0	10,1,0	11,1,0	12,1,0	13,1,0	14,1,0	15,1,1	16,1,1	17,1,1	18,1,1	19,1,1	20,1,1	21,1,1	22,1,1	23,1,1	24,1,1	25,1,1	26,1,1	27,1,1	28,1,2	29,1,2	30,1,2	31,1,2	32,1,2	33,1,2	34,1,2	35,1,2	36,1,2	37,1,2	38,1,2	39,1,2	40,1,2	41,1,2	42,1,2	43,1,2	44,1,2	45,1,1	46,1,1	47,1,1	48,1,1	49,1,1
0,2,0	1,2,0	2,2,0	3,2,0	4,2,0	5,2,0	6,2,0	7,2,0	8,2,0	9,2,0	10,2,0	11,2,0	12,2,0	13,2,0	14,2,0	15,2,1	16,2,1	17,2,1	18,2,1	19,2,1	20,2,1	21,2,1	22,2,1	23,2,1	24,2,1	25,2,1	26,2,1	27,2,2	28,2,2	29,2,2	30,2,2	31,2,2	32,2,2	33,2,2	34,2,2	35,2,2	36,2,2	37,2,2	38,2,2	39,2,2	40,2,2	41,2,2	42,2,2	43,2,2	44,2,2	45,2,2	46,2,1	47,2,1	48,2,1	49,2,1
0,3,0	1,3,0	2,3,0	3,3,0	4,3,0	5,3,0	6,3,0	7,3,0	8,3,0	9,3,0	10,3,0	11,3,0	12,3,0	13,3,0	14,3,1	15,3,1	16,3,1	17,3,1	18,3,1	19,3,1	20,3,1	21,3,1	22,3,1	23,3,1	24,3,1	25,3,1	26,3,1	27,3,2	28,3,2	29,3,2	30,3,2	31,3,2	32,3,2	33,3,2	34,3,2	35,3,2	36,3,2	37,3,2	38,3,2	39,3,2	40,3,2	41,3,2	42,3,2	43,3,2	44,3,2	45,3,2	46,3,2	47,3,1	48,3,1	49,3,1
0,4,0	1,4,0	2,4,0	3,4,0	4,4,0	5,4,0	6,4,0	7,4,0	8,4,0	9,4,0	10,4,0	11,4,0	12,4,0	13,4,0	14,4,1	15,4,1	16,4,1	17,4,1	18,4,1	19,4,1	20,4,1	21,4,1	22,4,1	23,4,1	24,4,1	25,4,1	26,4,2	27,4,2	28,4,2	29,4,2	30,4,2	31,4,2	32,4,2	33,4,2	34,4,2	35,4,2	36,4,2	37,4,2	38,4,2	39,4,2	40,4,2	41,4,2	42,4,2	43,4,2	44,4,2	45,4,2	46,4,2	47,4,1	48,4,1	49,4,1
0,5,0	1,5,0	2,5,0	3,5,0	4,5,0	5,5,0	6,5,0	7,5,0	8,5,0	9,5,0	10,5,0	11,5,0	12,5,0	13,5,1	14,5,1	15,5,1	16,5,1	17,5,1	18,5,1	19,5,1	20,5,1	21,5,1	22,5,1	23,5,1	24,5,1	25,5,1	26,5,2	27,5,2	28,5,2	29,5,2	30,5,2	31,5,2	32,5,2	33,5,2	34,5,2	35,5,3	36,5,3	37,5,3	38,5,2	39,5,2	40,5,2	41,5,2	42,5,2	43,5,2	44,5,2	45,5,2	46,5,2	47,5,2	48,5,1	49,5,1
0,6,0	1,6,0	2,6,0	3,6,0	4,6,0	5,6,0	6,6,0	7,6,0	8,6,0	9,6,0	10,6,0	11,6,0	12,6,1	13,6,1	14,6,1	15,6,1	16,6,1	17,6,1	18,6,1	19,6,1	20,6,1	21,6,1	22,6,1	23,6,1	24,6,1	25,6,2	26,6,2	27,6,2	28,6,2	29,6,2	30,6,2	31,6,2	32,6,2	33,6,3	34,6,3	35,6,3	36,6,3	37,6,3	38,6,3	39,6,3	40,6,2	41,6,2	42,6,2	43,6,2	44,6,2	45,6,2	46,6,2	47,6,2	48,6,1	49,6,1
0,7,0	1,7,0	2,7,0	3,7,0	4,7,0	5,7,0	6,7,0	7,7,0	8,7,0	9,7,0	10,7,0	11,7,0	12,7,1	13,7,1	14,7,1	15,7,1	16,7,1	17,7,1	18,7,1	19,7,1	20,7,1	21,7,1	22,7,1	23,7,1	24,7,1	25,7,2	26,7,2	27,7,2	28,7,2	29,7,2	30,7,2	31,7,2	32,7,3	33,7,3	34,7,3	35,7,3	36,7,3	37,7,3	38,7,3	39,7,3	40,7,3	41,7,2	42,7,2	43,7,2	44,7,2	45,7,2	46,7,2	47,7,2	48,7,2	49,7,1
0,8,0	1,8,0	2,8,0	3,8,0	4,8,0	5,8,0	6,8,0	7,8,0	8,8,0	9,8,0	10,8,0	11,8,1	12,8,1	13,8,1	14,8,1	15,8,1	16,8,1	17,8,1	18,8,1	19,8,1	20,8,1	21,8,1	22,8,1	23,8,1	24,8,1	25,8,2	26,8,2	27,8,2	28,8,2	29,8,2	30,8,2	31,8,3	32,8,3	33,8,3	34,8,3	35,8,3	36,8,3	37,8,3	38,8,3	39,8,3	40,8,3	41,8,3	42,8,2	43,8,2	44,8,2	45,8,2	46,8,2	47,8,2	48,8,2	49,8,1
0,9,0	1,9,0	2,9,0	3,9,0	4,9,0	5,9,0	6,9,0	7,9,0	8,9,0	9,9,0	10,9,1	11,9,1	12,9,1	13,9,1	14,9,1	15,9,1	16,9,1	17,9,1	18,9,1	19,9,1	20,9,1	21,9,1	22,9,1	23,9,1	24,9,1	25,9,2	26,9,2	27,9,2	28,9,2	29,9,2	30,9,2	31,9,3	32,9,3	33,9,3	34,9,3	35,9,4	36,9,4	37,9,4	38,9,3	39,9,3	40,9,3	41,9,3	42,9,2	43,9,2	44,9,2	45,9,2	46,9,2	47,9,2	48,9,2	49,9,1
